cpf,nome_completo,email,uf,dt_nascimento
10063846215,Ana Liz Aatz,analiz.aatz@hotmail.com,AC,1961-02-07
10163430695,Caroline Aatz,caroline.aatz@icloud.com,AC,1963-01-05
10232239344,Alicia Aatz,alicia.aatz@outlook.com,AP,1965-07-15
10254590186,Fernando Aatz,fernando.aatz@icloud.com,AM,1957-09-17
10296250617,Josue Aatz,josue.aatz@hotmail.com,BA,1955-04-19
10325871461,Bento Aatz,bento.aatz@outlook.com,CE,1949-09-06
10372974175,Marina Aatz,marina.aatz@gmail.com,DF,1958-03-23
10404178141,Yago Aatz,yago.aatz@hotmail.com,ES,1983-11-07
10420647342,Caua Aatz,cauã.aatz@outlook.com,GO,1981-10-11
10457955848,Maria Vitoria Aatz,mariavitoria.aatz@outlook.com,MA,1984-09-27
10495696961,Davi Luiz  Aatz,daviluiz .aatz@outlook.com,MT,1981-09-25
10497610832,Bianca Aatz,bianca.aatz@outlook.com,MS,1984-10-18
10539767189,Enrico Aatz,enrico.aatz@outlook.com,MG,1940-05-15
10581733729,Heloise Aatz,heloise.aatz@hotmail.com,PA,1948-09-30
10719755575,Kaue Aatz,kaue.aatz@hotmail.com,PB,1958-06-19
10736839293,Maria Luiza Aatz,marialuiza.aatz@outlook.com,PR,1984-04-25
10746561701,Theo Aatz,theo.aatz@outlook.com,PE,1984-06-28
10788617262,Joao Aatz,joão.aatz@hotmail.com,PI,1984-12-06
10812507384,Luiza Aatz,luiza.aatz@icloud.com,RJ,1983-12-28
10819934104,Antonia Aatz,antonia.aatz@icloud.com,RN,1982-05-15
10852671622,Marcelo Aatz,marcelo.aatz@icloud.com,RS,1984-08-22
10919362944,Barbara Aatz,barbara.aatz@hotmail.com,RO,1984-10-02
10939215353,Pietro Aatz,pietro.aatz@icloud.com,RR,1959-09-13
10954859363,Jose Aatz,jose.aatz@outlook.com,SC,1959-10-21
11011137742,Pedro Aatz,pedro.aatz@hotmail.com,AC,1966-07-12
11067773472,Davi Lucas Aatz,davilucas.aatz@gmail.com,AL,1964-03-10
11088691419,Isabelly Aatz,isabelly.aatz@outlook.com,AP,1960-03-28
11111421243,Josue Aatz,josue.aatz@hotmail.com,AM,1955-11-06
11191901778,Gabriel Aatz,gabriel.aatz@outlook.com,AM,1963-09-27
11226421004,Antonio Aatz,antonio.aatz@outlook.com,AM,1961-02-24
11264551707,Martin Aatz,martin.aatz@outlook.com,AM,1984-01-18
11274175902,Agatha Aatz,agatha.aatz@outlook.com,ES,1985-09-14
11381806504,Maria Helena Aatz,mariahelena.aatz@icloud.com,GO,1979-07-25
11401193661,Davi Lucca Aatz,davilucca.aatz@hotmail.com,MA,1984-01-01
11410866984,Joana Aatz,joana.aatz@hotmail.com,MT,1949-10-06
11460651006,Joao Pedro Aatz,joãopedro.aatz@icloud.com,MS,1928-02-14
11556834052,icaro Aatz,icaro.aatz@hotmail.com,MG,1965-10-04
11559241861,Nicole Aatz,nicole.aatz@gmail.com,PA,1946-01-17
11568472525,Alexia Aatz,alexia.aatz@hotmail.com,PB,1948-08-28
11593346814,Ana Livia Aatz,analivia.aatz@hotmail.com,PR,1941-10-02
